speed_m_s,eigenvalue_real_s_inv,eigenvalue_imag_s_inv
5.7,-15.475509580918498,0.0
5.7,-1.3227359286806308,-5.4651924755874015
5.7,-1.3227359286806308,5.4651924755874015
5.7,-0.06423003198114881,0.0
5.800000000000001,-15.678113371409301,0.0
5.800000000000001,-1.3920970127389647,-5.603395375508468
5.800000000000001,-1.3920970127389647,5.603395375508468
5.800000000000001,-0.04194287109756989,0.0
5.9,-15.881407214085296,0.0
5.9,-1.459949363636956,-5.7405558104669305
5.9,-1.459949363636956,5.7405558104669305
5.9,-0.02198312434945973,0.0
6.0,-16.085371230980073,0.0
6.0,-1.5264448658413832,-5.876730605987037
6.0,-1.5264448658413832,5.876730605987037
6.0,-0.004066900769712729,0.0
6.1000000000000005,-16.28998609558942,0.0
6.1000000000000005,-1.591714441126942,-6.011975404101446
6.1000000000000005,-1.591714441126942,6.011975404101446
6.1000000000000005,0.01204831668688764,0.0
6.2,-16.495233029042392,0.0
6.2,-1.6558715224728928,-6.146343766265318
6.2,-1.6558715224728928,6.146343766265318
6.2,0.026570615107876804,0.0
6.300000000000001,-16.70109379455283,0.0
6.300000000000001,-1.7190148878215195,-6.279886669236148
6.300000000000001,-1.7190148878215195,6.279886669236148
6.300000000000001,0.03967931359169337,0.0
6.4,-16.907550690414112,0.0
6.4,-1.7812309769972725,-6.412652257999398
6.4,-1.7812309769972725,6.412652257999398
6.4,0.051529590080615195,0.0
6.5,-17.114586541770354,0.0
6.5,-1.842595792284974,-6.544685765105516
6.5,-1.842595792284974,6.544685765105516
6.5,0.06225627428837706,0.0
6.6000000000000005,-17.322184691370843,0.0
6.6000000000000005,-1.9031764635626107,-6.676029535901551
6.6000000000000005,-1.9031764635626107,6.676029535901551
6.6000000000000005,0.07197696872026625,0.0
6.7,-17.530328989490943,0.0
6.7,-1.9630325426875221,-6.806723119245308
6.7,-1.9630325426875221,6.806723119245308
6.7,0.0807946273663001,0.0
6.800000000000001,-17.739003783180838,0.0
6.800000000000001,-2.02221707874354,-6.936803396767749
6.800000000000001,-2.02221707874354,6.936803396767749
6.800000000000001,0.08879969544437269,0.0
6.9,-17.948193904984297,0.0
6.9,-2.080777515305138,-7.066304732812621
6.9,-2.080777515305138,7.066304732812621
6.9,0.09607189264715017,0.0
7.0,-18.157884661251774,0.0
7.0,-2.1387564425835923,-7.195259133297991
7.0,-2.1387564425835923,7.195259133297991
7.0,0.10268170574765627,0.0
7.1000000000000005,-18.368061820157127,0.0
7.1000000000000005,-2.1961922307629402,-7.3236964058756975
7.1000000000000005,-2.1961922307629402,7.3236964058756975
7.1000000000000005,0.10869164328783985,0.0
7.2,-18.57871159951277,0.0
7.2,-2.253119565649692,-7.451644316558298
7.2,-2.253119565649692,7.451644316558298
7.2,0.11415729469310436,0.0
7.300000000000001,-18.789820654465462,0.0
7.300000000000001,-2.309569903658219,-7.579128739868552
